Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Cycle,7.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,12.884583537402838,8.363951929652359,-660409083
0.0,1.0,Cycle,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,10.92000169624308,8.58057549945501,-1514866796
0.0,1.0,Cycle,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,10.662014659726493,8.632497239182744,-944794680
0.0,1.0,Cycle,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,10.916899639156153,8.595789497061459,-314996765
0.0,1.0,Cycle,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,8.79936811354995,8.828776745004006,321847880
0.0,1.0,Cycle,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,8.35145991046022,8.886985437651534,-747789664
0.0,1.0,Cycle,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,8.180348114174318,8.923358805159191,-1649788098
0.0,1.0,Cycle,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,6.536924586107712,9.072612602610624,2077132089
0.0,1.0,Cycle,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,6.888203731881535,9.03445554482365,-1999556749
0.0,1.0,Cycle,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,6.866755520114386,9.044004923016383,562868360
0.0,1.0,Cycle,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.085287748425991,9.216854104112244,-325503679
0.0,1.0,Cycle,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.593413351854151,9.155484790523168,-1964299869
0.0,1.0,Cycle,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.369594017898959,9.200618734962354,-1597768466
0.0,1.0,Cycle,12.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.061162863010602,9.309057350193559,-418759386
0.0,1.0,Cycle,12.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.274893331010196,9.284940825657669,-1542991975
0.0,1.0,Cycle,12.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.509472383130942,9.265775005911802,-505122814
0.0,1.0,Cycle,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,3.2239927314587287,9.390144401645955,1915259410
0.0,1.0,Cycle,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,3.575150168414791,9.34573003337228,-1047342875
0.0,1.0,Cycle,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,3.572179488055687,9.343837195630458,939082423
0.0,1.0,Cycle,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.861279215966639,9.401168218820626,1019930069
0.0,1.0,Cycle,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.6146485427057824,9.449453925093133,-903411955
0.0,1.0,Cycle,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.5741600852798734,9.437407381346167,1527923402
0.0,1.0,Complete,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,19.973729487977884,7.327215158439104,270752398
0.0,1.0,Complete,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,19.63567048850802,7.404210274561232,1520032782
0.0,1.0,Complete,13.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,19.818404436659048,7.337665106737358,1208238914
0.0,1.0,Complete,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,19.195835446460592,7.488611306997055,584224402
0.0,1.0,Complete,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,19.35979956661972,7.459991724271246,97921284
0.0,1.0,Complete,14.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.937840931867658,7.508181810926111,411895696
0.0,1.0,Complete,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.449032734773613,7.609943107279732,849643999
0.0,1.0,Complete,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.62582362703084,7.585142427432311,-680134778
0.0,1.0,Complete,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.82059222673979,7.553654517197494,142471728
0.0,1.0,Complete,16.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.190437365378294,7.654470727089073,-42908577
0.0,1.0,Complete,16.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.245819256933853,7.659345947581038,1071907882
0.0,1.0,Complete,16.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.42649659849975,7.611952023335686,-785767915
0.0,1.0,Complete,17.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,17.569867031011956,7.793996997145634,1578910842
0.0,1.0,Complete,17.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,17.884141310964544,7.716093391597932,-980925208
0.0,1.0,Complete,17.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.19086762742435,7.654762511826361,-1205001941
0.0,1.0,Complete,18.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.827844782774108,7.895760312552522,1744413715
0.0,1.0,Complete,18.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,17.579029879950284,7.7614420335135845,357855985
0.0,1.0,Complete,18.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,17.06766108242753,7.855993768120808,842782495
0.0,1.0,Complete,19.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,17.136711437324994,7.855915775251489,-1689028047
0.0,1.0,Complete,19.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.441893157152702,7.944343458172402,236119343
0.0,1.0,Complete,19.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.866275477970817,7.888214956474139,2131920221
0.0,1.0,Complete,20.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.567228604885134,7.937930205306923,596895476
0.0,1.0,Complete,20.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.440934978607658,7.954758335756278,1007801963
0.0,1.0,Complete,20.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.13072292676277,8.009825923539674,1435859622
0.0,1.0,Complete,21.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,16.35212315860814,7.96662230120343,-1722426348
0.0,1.0,Complete,21.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,15.949072861956715,8.03773490441799,-8541719
0.0,1.0,Complete,21.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,15.754231702571087,8.071489446362119,839151628
0.0,1.0,Complete,22.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,15.778582991190307,8.063859227189617,-1432850194
0.0,1.0,Complete,22.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,15.70013074854667,8.084584391021654,-897232317
0.0,1.0,Complete,22.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,15.351375429052485,8.128176967113816,-634516944
0.0,1.0,Cycle,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.3512358747013646,9.452805417379798,1053610043
0.0,1.0,Cycle,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.089891577295061,9.47680888157215,-880014718
0.0,1.0,Cycle,15.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,2.1288533953667437,9.4682072014426,906525542
0.0,1.0,Cycle,16.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,1.9518822636870559,9.474401871180355,-430800666
