Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,PreferenceBias,ResultCorrelation,b1Mean1,b1Mean2,b1Variance,b2Mean1,b2Mean2,b2Variance,b3Mean1,b3Mean2,b3Variance,b4Mean1,b4Mean2,b4Variance,objPerformance1,objPerformance1Var,objPerformance2,objPerformance2Var,seed,subPerformance,subPerformanceVar
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.40000000000000013,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62489877977178,25.3885237355655,3.394993307634691,10.21985123803751,0,4.530743903653835,17.29090674316206
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.5,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421898510808424,25.675550643373274,3.255785564693054,10.222733711032706,0,4.362033865602869,17.399672429339173
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.6000000000000001,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157154007566531,26.0381368892029,3.0953956913622087,10.285343258858191,0,4.139939157843198,17.53285897394601
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.7000000000000002,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.935929629902651,26.239428940067597,2.9583386617317045,10.315778151468253,0,3.9654650778028095,17.66089706250276
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.8,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688040893295759,26.300494177460028,2.815877893084756,10.371748318253976,0,3.772309023740131,17.70978086757721
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.9000000000000001,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387527729165412,26.07360645393603,2.6372029287764094,10.268379599201396,0,3.5279846064754437,17.540499744135577
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,1.0,10.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.008936966318161,25.434003172259253,2.403094166318167,9.971345566844894,0,3.22251440631818,17.064309381059093
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.660325398652546,2.246047531012621,6.733838121347487,2.224689028080302,0,8.18863684948613,2.354259941386755
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.9,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61531639524517,2.6189853989109007,6.708213923629318,2.450756905234844,0,8.19112732196831,2.6630081003792005
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.8,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.432218440374923,4.128136301071864,6.633518320033887,3.1860003474280294,0,8.047748435468979,3.768852313040183
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.7,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.134154157697212,6.740345682898524,6.436822416303737,4.4711662950390885,0,7.797118001968486,5.687709316668755
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.6,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76820984710442,9.875521885121453,6.169839347456898,5.9342971852361925,0,7.471851674496393,7.951240388811961
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.5,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41949723242542,12.646178045699244,5.925551029772503,7.3571807886962945,0,7.18239937467931,9.97573134460678
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.3999999999999999,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.141426889947725,14.783192194274092,5.713687027527023,8.302651192829167,0,6.9492889469447805,11.538669156560642
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.29999999999999993,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.808956891015619,17.024347207536543,5.4572125636609385,9.289311065384425,0,6.658482017723966,13.15830570661731
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-0.19999999999999996,10.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47301679205598,18.963255896752106,5.2501165662089395,10.235368988264762,0,6.365467109758729,14.510075315290702
